Community,Distance centre,Distance shop
恒基旭辉中心(公寓),15.27123665,9.416106934
爱博三村,15.89604095,10.02336569
爱博六村,16.06624343,10.10844724
万科时一区,15.95592134,10.21590864
爱博一村,15.91624747,10.10211622
凯德林茵湖畔(公寓),9.109340799,1.329316745
西庭网球俱乐部和公寓,18.26394443,12.47153063
诸新三村,17.8301577,11.95227736
尚品华庭,15.26631733,9.481858361
万科红郡,18.1149059,12.22011693
西郊庄园,18.655214,12.88755926
诸新一村,17.83186723,11.98422348
紫堤苑,17.15401417,11.31560135
凯德林茵湖畔(别墅),18.97531226,13.10104732
瑞生花园,18.29152324,12.44929814
金球怡云花园,18.33343443,12.46198488
紫堤坊,17.28754999,11.43937983
紫薇二村,17.2283998,11.4154029
绿地旭辉e天地,17.68295482,11.81933372
中骏广场,15.58986408,9.735075452
虹桥富力中心,15.35048857,9.531417833
静安新城三区,2.773544143,2.880929635
天安豪园,12.7396244,7.308168741
大上海国际花园四区,11.91053192,6.486155199
大上海国际花园三区,12.3068581,6.855417206
静安新城七区,11.935187,6.460972969
红明二村,12.32625925,6.912900831
静安新城二区,2.773544143,2.880929635
静安新城十区,12.05945684,6.603934196
静安新城五区,11.57824595,6.120263396
静安新城十一区,7.115554957,6.604415494
静安新城一区,2.773544143,2.880929635
大上海国际花园九区,13.20324853,7.715407213
大上海国际花园六区,11.91053192,6.486155199
大上海国际花园十四区,11.91053192,6.486155199
大上海国际花园十五区,11.91053192,6.486155199
静安新城九区,2.773544143,2.880929635
静安新城四区,11.92744072,6.440169838
九歌上郡,11.52928857,6.112060785
宏明雅舍,12.93563257,7.512223571
大上海国际花园十区,11.91053192,6.486155199
静安新城十二区,1.861231503,2.318155528
大上海国际花园二区,11.91053192,6.486155199
大上海国际花园一区,11.91053192,6.486155199
大上海国际花园八区,11.91053192,6.486155199
大上海国际花园七区,11.9075571,6.4727478
静安新城八区,2.773544143,2.880929635
大上海国际花园十六区,11.91053192,6.486155199
九歌中庭,11.67363987,6.221919022
大上海国际花园五区,11.91053192,6.486155199
大上海国际花园十二区,11.91053192,6.486155199
大上海国际花园十三区(别墅),12.06211041,6.654486663
九歌茗园,11.66375347,6.22419338
大上海国际花园酒店公寓,11.80129481,6.353347562
红明一村,12.4905452,7.032829789
古北新城,8.807467237,3.44957923
虹鹿花苑,10.43754837,5.138353053
名都城(公寓),9.210627826,4.088825555
明申花园(公寓),9.191497556,3.844190527
华光花园,9.845240393,4.687884184
东航明珠公寓,8.128653977,3.03521741
荣信虹桥世嘉,10.1117395,4.693631193
虹桥帝梵尼,23.07000373,20.85995326
虹桥花苑,9.570937772,4.419290492
东方明珠小区,4.550607352,2.026429087
古北大成公馆,8.315271187,3.120281374
奥森花苑,10.37883845,5.100541468
华虹一公寓,10.32314019,5.11584044
金虹桥东苑怡和园,7.264993405,1.760252929
苹果园(公寓),9.070178398,5.513533267
流晶逸彩,10.34837354,5.202216145
万源新城南区,10.97190907,5.579387217
虹桥晶典苑,23.07000373,20.85995326
古北虹苑,7.805440137,2.591843388
名都古北,8.672125003,3.499430281
振宏小区,8.231241163,3.075110849
翡翠名都,8.866308013,3.582506718
海申花园,7.702155151,2.439501392
恒盛苑,7.892878494,2.742411468
延虹公寓,10.45448771,5.128485628
海联花苑,7.774596884,2.437617503
万源新城北区,10.82670024,5.482479945
虹桥明珠公寓,23.07000373,20.85995326
虹梅路2759弄,9.852284229,4.477740016
光大花园,10.78152412,5.495885392
伊犁苑,8.30358021,3.135956593
上虹新村,10.36661297,4.958992163
金泉苑(闵行),15.89346074,10.49882929
华光公寓,19.74322371,14.66669342
新上虹新村,10.36661297,4.958992163
虹桥汇秀苑,23.07000373,20.85995326
虹梅路2309弄,9.931722653,4.523924957
锦华公寓,7.977592804,2.572369259
旅专小区,9.472936424,4.125469819
古北首席,8.191737952,2.782149084
环镇南路91号,26.0268501,24.55741305
环镇西路39、41弄,26.17573442,24.72195252
天鸿公寓,9.520171322,4.151466811
红春一公寓,9.673582675,4.429321368
古北金鹰府,10.51775158,5.330518322
奥森公寓,10.31447158,4.99655334
吴中路907号,9.984455765,4.667229747
吴中路1001弄,10.20980959,4.877481924
虹桥紫京苑(公寓),23.07000373,20.85995326
虹梅路2964弄,9.664083262,4.376953141
嘉年别墅,10.01403927,4.746838037
虹桥高尔夫别墅,9.490456448,4.385716859
奥玎宫廷别墅,10.14913372,4.979493663
富宏花园(别墅),9.771878716,4.630843264
虹梅路2669弄,9.966145576,4.593428031
虹田苑,9.616130602,4.401838121
湘府花园,8.166819214,2.785256413
明申花园(别墅),9.191497556,3.844190527
虹桥紫京苑(别墅),23.07000373,20.85995326
虹梅路2998弄,9.663147726,4.38840018
张家宅小区,7.918998323,2.566720243
苹果园(别墅),9.070178398,5.513533267
古北壹号,9.074219804,3.913883732
吴中路918号,9.985181091,4.677230907
虹兴苑,9.983720933,4.590108589
虹梅别墅,9.875913257,4.621983138
金虹大厦,9.02537373,3.723042971
臻园(公寓)(闵行),11.95719623,7.792496999
海叶公寓,7.874096698,2.58652763
豪嘉府邸,10.08144084,4.839377217
风度国际,11.98572921,6.631732804
金汇花园一街坊,11.42135264,6.113817886
金汇名人苑三街坊,11.28573464,6.066099004
金汇华光城,11.01086858,5.773561605
金汇丽舍,11.20094224,6.014513739
金虹桥井亭苑,7.264993405,1.760252929
金汇花园三街坊先锋公寓,11.91538027,6.635489112
金汇鸿锦苑,11.57152647,6.374495081
金坤花园,11.3417657,6.164068639
臻果国际,11.88221564,6.551398104
锦绣江南(二期),11.5931494,6.260028635
锦绣江南(四期),11.69371859,6.32751466
锦绣江南(一期),11.37365876,6.083098553
宝虹公寓,11.45862259,6.215973843
紫薇苑,10.96620833,5.824310959
金汇花园四街坊,11.12325557,5.963686978
虹井小区,11.31660282,5.965064751
金俊苑,11.55822198,6.3944966
金汇福邸,11.33016606,6.049779364
锦绣江南五期(公寓),12.64031092,7.313689487
虹桥金斯花园,11.06067641,5.861840159
锦绣江南三期(公寓),11.39500205,6.065024723
锦绣江南五期(别墅),12.64031092,7.313689487
新东苑国际酒店式公寓,11.97970538,6.652265084
虹桥衡园,23.07000373,20.85995326
合生城邦四街坊,24.39406734,19.68648458
夏朵园,24.1745631,19.34066951
沧源小区,2372.159856,2366.473306
马桥景城馨苑,25.84394055,20.78814169
绿地璀璨天城,24.89680278,19.87218962
万科城,27.72221788,21.80503229
丽都城假日景苑,25.09516806,20.44456745
红旗四街坊,25.26713137,20.48533543
红旗五村,25.38982992,20.67121081
新华小区,30.92760231,27.70912711
金榜人家,24.41598991,19.88207447
凤庆小区,25.03896584,20.29812277
北欧丽景,24.31966081,19.96287839
红旗小区,25.65593665,20.89980238
金榜世家,24.74140231,20.36371176
东川花苑,24.36799095,19.94047558
金平小区,24.82963916,20.24123161
华银坊,24.44200644,19.50865886
南洋博仕欣居,24.17049268,19.71498308
南洋瑞都剑桥府邸(公寓),24.16305025,19.50188989
合生城邦一街坊,24.45075683,19.82717513
畅馨园,23.71686995,19.13894791
剑桥丽苑,23.95852981,19.36033283
鹤北新村,25.04485726,20.53044171
鹤北新村二街坊,25.24350796,20.68194182
紫藤新园,25.9913136,21.25320768
当代万国府MOMA,24.94684079,20.57817082
飞碟苑,23.87174609,18.99227918
京浦花园,24.5275118,20.16049004
合生城邦三街坊,24.73353457,20.05381836
海赋尚品,24.59248533,19.85518491
红旗花苑,25.54326369,20.84142994
保利佳苑,25.28793176,20.29911956
明珠大厦,25.42556515,20.88970743
金铭福邸,25.48881517,20.86180081
金榜雅苑,23.9684869,19.3410877
凤凰景苑,24.23263596,19.65264488
景谷苑,25.43260456,20.62233625
好第坊(公寓),24.28802644,19.95995518
康乐花园(闵行),15.89346074,10.49882929
瑞丽名邸,25.32531636,20.64368425
源枫景苑,24.81050768,20.47842592
东川苑,26.00979889,21.24844139
富仕名邸,25.7313652,20.99792832
万科公园大道,24.69706539,19.70501537
红旗三村,25.66651219,20.90557773
鹤庆路58弄,25.02751837,20.55453017
鹤庆苑,24.83926319,20.27077026
三明花园,24.41172606,20.03502065
鹤北新苑,24.74513764,20.20625074
鹤明小区,25.51224396,20.9723567
友好佳苑,26.49803494,21.7986353
兰坪公寓,26.06973103,21.53672027
东苑佳和园,24.64336271,20.3482537
金铭福邸四期,25.53967337,20.87559278
碧江路400弄,25.52721532,20.7954336
南洋瑞都剑桥府邸(别墅),24.16305025,19.50188989
千岱名墅,24.7306779,20.1276038
安宁欧洲花园,24.58350394,20.03793147
祥云新城,28.54698989,23.56082339
沪闵路315弄,5.8584856,0.277281531
瑞丽路22弄,26.19996402,21.58788934
龙柏六村,12.27072398,7.07919866
龙柏二村,12.09087199,6.737844031
嘉富丽苑,12.24500655,6.851808336
龙柏七村,12.52964405,7.321509256
龙柏香榭苑,12.14777119,6.964014438
龙柏西郊公寓,12.39109198,7.056536648
龙柏公寓,11.73929302,6.42455341
龙柏四村,12.22140028,6.948680541
龙柏一村,11.48652206,6.177461214
龙柏三村,11.74266083,6.513461573
紫藤居(公寓),12.53372781,7.315625598
新悦公寓,11.65414924,6.381409857
佳信花苑,11.8813818,6.54669009
复地紫藤里,12.33976416,7.135328579
华都公寓,11.72333354,6.355430632
龙柏四村三小区,12.49634515,7.219110308
龙柏井亭公寓,12.19149731,6.970470795
青杉路318弄,12.3409478,7.102882738
永怡公寓,11.46847312,6.096597162
龙柏城市花园,11.79824076,6.411141149
龙柏四季花园,28.09997851,22.18900488
龙柏五村,11.98024876,6.797908871
中祥龙柏苑,12.10781591,6.905634776
龙柏易居公寓,12.26744057,7.062241551
龙兴苑,11.80105881,6.528175477
俊领国际酒店公寓,12.0434342,6.74016912
青杉路200弄,12.01816725,6.806414138
新华红星国际广场,11.66551489,6.448102975
龙柏七村公寓,12.55269734,7.31254134
金悦公寓,11.98346567,6.798387712
绿城玫瑰园,24.65012712,19.3453698
山水世纪,23.72716727,18.3613541
御涛园,23.83631006,18.5390209
中房森林别墅,23.70721682,18.40259386
红庐雅颂别墅,23.7083149,18.53934333
中星红庐,23.19797074,17.97048533
长岛别墅,23.43078646,18.12493358
上海阳城,14.28361705,8.994388199
中梅苑,12.70190718,7.582599673
未名园,14.10311968,8.883900894
盛源花园,13.73376496,8.511865042
上陇新村,12.5350132,7.39324305
梅陇一村,12.0451716,6.847957143
罗阳七村(华宝小区),14.04428944,8.771106124
嘉和花苑,13.4726504,8.193742039
梅陇二村,12.38890077,7.15134678
朱行四村,13.07665526,8.144791517
罗阳四村,52.17236101,44.5563252
罗秀苑,20.79993024,17.83971105
紫藤二村,12.74745189,7.554168745
朱行新四村,13.07665526,8.144791517
罗阳七村(三洲花园),14.04153267,8.72698645
紫藤一村,12.61455456,7.336338375
晶欣坊,12.21650211,7.626146988
罗阳三村,13.64416282,8.460722121
望族苑,13.09548224,7.871332459
罗阳一村,13.47574613,8.34254057
西班牙名园,13.21994469,7.93579175
莲花河畔景苑,13.7138177,8.451325885
罗阳二村,13.71213744,8.61245591
世纪苑,12.83163826,7.560951551
锦鸿公寓,12.14514721,6.892221486
城开珑庭,12.75124634,8.028368366
朱梅小区,12.80666936,7.657599435
朱莘苑,12.88250664,8.03549273
莲花苑,13.43754757,8.255074196
鸿福新村,13.04622632,8.040085783
罗锦苑,13.19652013,8.135591011
上中西路767弄,12.49440269,7.396265534
罗秀新苑,13.14795732,7.970701568
虹梅佳苑,13.31923685,8.341260364
朱行二村,13.18472947,8.276579441
绿梅公寓(罗阳路111弄),13.15290591,8.040294528
益文路79弄,12.23300302,6.97836085
朱行三村,13.35960405,8.417156242
绿梅别墅(别墅),13.33327234,8.172911049
晶采坊,12.46525923,7.894321772
罗锦新苑,13.65301991,8.495456931
欣佳宝邸,21.62843013,19.47315475
浦江小丽都,20.68150922,18.56146031
浦江世博家园八街坊,17.3086119,14.62211154
一品漫城(一期)(公寓),12.77480044,10.38422645
浦江世博家园四街坊,16.98440393,14.35976597
浦江颐城(公寓),14.70376279,12.1513646
新浦江城(江桦路400弄),14.19488602,11.53169809
浦润苑,21.70083113,19.37344244
浦江丽都,20.68150922,18.56146031
浦航新城中城苑,20.65253871,18.72264859
陆家嘴红醍半岛(公寓),14.59646926,11.61193842
水语人家北苑,21.07424525,18.79601202
金硕河畔景园西区,20.3853956,18.22815215
汇秀景苑三街坊,22.25501251,20.12565611
浦江世博家园十五街坊,17.9403782,15.16160296
欣佳宝邸(北区),21.57044225,19.41856653
景舒苑八村,17.85044258,14.77348496
聚缘南庭,22.29922279,20.23740897
浦江馨都,21.99723419,19.65048757
景舒苑六村,17.48626788,14.41499445
浦江世博家园七街坊,17.27465298,14.67900936
浦江世博家园十四街坊,17.89055347,15.2066431
瑞和新苑浦涛路400弄,20.99151496,18.85812929
瑞和华苑北区,22.03940511,19.84483824
滨浦新苑四村,18.6431032,15.84037028
聚缘北庭,21.65781252,19.63306515
浦江宝邸,19.90606507,17.92106577
聚缘中庭,22.07343126,20.01567757
保利茉莉公馆二期,15.26737661,12.26787187
汇秀景苑一街坊,21.7088191,19.60859719
浦江世博家园十三街坊,17.85745863,15.24296485
闵浦新苑六村,18.07294907,13.74540888
浦江智汇园,17.77415731,15.5579539
滨浦新苑三村,18.35354621,15.56698247
新浦江城(江栀路350弄),15.05709752,12.38602757
一品漫城(四期)(公寓),12.76779829,10.06442452
景舒苑二村,17.40540445,14.50157758
新浦江城(浦申路1288弄),14.30989396,11.59729072
浦江世博家园九街坊,17.36993833,14.61173666
谈家港花苑一村,19.03207694,17.0193686
世博家园十一街坊,17.623721,14.93611732
汇颂南苑,20.82033974,18.56017977
金硕河畔景园南区,20.61771028,18.43338523
浦江世博家园六街坊,17.05488556,14.3003516
保利茉莉公馆一期,15.2071917,12.31807348
汇秀景苑二街坊,22.08611716,19.96268872
新浦江城(江桦路199弄),14.41628257,11.86991471
景江苑A区,16.90246331,13.92759128
滨浦新苑九村,18.8125538,15.71822885
水语人家南苑,21.3741585,19.06525495
金硕河畔景园东区,20.32669144,18.25583334
一品漫城二期（公寓）,12.90649745,10.42413772
新浦江城(江桦路600弄),14.23062886,11.48311472
新浦江城(浦锦路1658弄),14.93679506,12.15093006
浦江世博家园二街坊,16.75046516,14.06736304
浦江宝邸北区,19.54679082,17.69363023
新浦江城（四期）,15.36480065,12.5781617
浦江坤庭—翠御,15.51446411,12.62269461
欣佳宝邸东区,21.69597984,19.53777733
一品漫城二期（别墅）,12.90649745,10.42413772
景舒苑三村,17.75940444,14.80841431
浦江坤庭—璞御,15.51446411,12.62269461
新浦江城(浦驰路1809弄),14.53578081,11.74515135
景舒苑四村,17.73045006,14.83214779
景舒苑七村,17.48122428,14.46094353
虹浦新城北区,21.19499928,18.97568997
景舒苑一村,17.42827736,14.46660614
虹浦新城南区,21.37351215,19.16029707
景江苑E区,17.17519007,14.1114477
浦江世博家园十街坊,17.54823266,14.94330939
滨浦新苑二村,18.60865713,15.88488486
景江苑C区,17.12476776,14.15575325
景舒苑十村东区,18.05698665,15.04295937
滨浦新苑一村,18.29900673,15.5909473
闵浦一村,44.66853949,41.33371115
景舒苑九村,17.81561684,14.79947773
滨浦新苑七村,18.4379252,15.43132311
滨浦新苑五村,18.40077157,15.48928051
瑞和华苑,22.11883007,19.84189641
一品漫城(五期),12.96375796,10.12160752
瑞和新苑江航路60弄,20.99151496,18.85812929
馨园小区,19.23687893,17.09378201
浦江世博家园十二街坊,17.57852432,14.82187149
景舒苑五村西区,18.03134465,15.08792305
闵浦新苑二村,19.80328119,17.6231019
花苑二村,19.22821837,17.21896973
景舒苑十村西区,18.08482518,15.04017214
瑞和华苑南区,22.21161757,20.03333004
谈中路230弄,19.12534306,16.93231048
闵浦新苑三村东区,5.978256494,0.377615763
闵浦新苑五村,17.73472601,10.34317062
闵浦新苑四村,18.6431032,15.84037028
浦江宝邸西区,19.91693285,17.93990637
一品漫城三期（公寓）,12.89988668,10.28382807
新浦江城(江柳路200弄)(公寓),14.53154483,11.98288249
陈南路418弄,15.94455168,13.29015014
瑞和新苑浦涛路399弄,20.99151496,18.85812929
景江苑D区,17.12016098,14.19730704
新浦江城(江栀路500弄),14.30989396,11.59729072
新浦江城(浦驰路1335弄)(别墅),15.43240697,12.7008215
万科翡翠别墅,13.89772127,10.96071781
新浦江城(江桦路399弄),14.40767605,11.78932142
保利茉莉公馆三期,14.86924774,11.9841476
陆家嘴红醍半岛(别墅),14.59646926,11.61193842
一品漫城(一期)(别墅),12.77480044,10.38422645
新浦江城(浦驰路1659弄),14.76612237,12.02875023
浦江世博家园五街坊,16.99150629,14.30750367
谈中路223弄,19.15571526,16.96289649
一品漫城四期,12.76779829,10.06442452
新浦江城(浦驰路1336弄),15.4209435,12.71201271
一品漫城三期（别墅）,12.89988668,10.28382807
新浦江城(江柳路400弄),14.30989396,11.59729072
华侨城十号院,14.75104399,12.08261227
新浦江城(江桦路200弄),14.10938792,11.56585302
浦航新城博雅苑,20.31502165,18.31059812
浦江华侨城6期,15.248957,12.78741513
旭辉浦江国际广场(酒店式公寓),17.51161097,15.10979026
浦江红星国际广场(商业类),17.56411804,15.07945116
万科早城(一期),14.16013539,11.21747601
绿地峰尚汇,17.1545993,14.69898599
华侨城loft,14.11016411,11.68271927
万科早城(二期),14.16013539,11.21747601
前滩禧悦,6.214950637,4.386881411
浦锦路1306号,15.56635853,12.74111726
谈中路158弄,19.1478646,17.07777885
三弦海上金街,10.72963588,7.210635404
中虹浦江苑,20.94700014,18.96723261
万科朗润园,15.51141409,10.19237121
白雪公主,15.37612264,9.885590617
牡丹新村,14.90442712,9.553434077
佳宝新村,15.13828776,9.813192473
园艺新村,14.70848698,9.246208727
茂盛城市花园,13.88555118,8.440576706
东方花园二期,14.32578132,8.840426018
万科城市花园,14.98306773,9.721352082
皇都花园,14.82346667,9.314173579
万科优诗美地,15.24425709,9.969448325
富丽公寓(东区),15.0724419,9.562409972
东碧林湾,14.84434206,9.345955103
摩登堂,15.52271576,10.04007213
西郊英园,14.26049961,8.976891596
金球花园,14.49263478,9.238987452
水清年华花园,15.56474284,10.1979406
水景书香园,13.93008247,8.469214804
佳宝一村,14.91719139,9.589205253
欣源公寓,14.36420693,9.087232023
东方花园(一期),14.52043216,9.037687772
南国花园,14.61951469,9.35871554
碧林湾(公寓),3.090905962,2.41175049
东方花园三期,14.41149706,8.9139784
华宝花园,15.01790827,9.555548335
吴宝新村,14.52569439,9.202809906
黎明花园,15.30008017,9.895713742
万兆家园(四期),14.90091267,9.4937483
三佳花苑,13.78131894,8.373798173
万科城花新园,15.93746214,10.65800509
金泰公寓,13.69650259,8.328857607
宝仪花苑,14.02374456,8.552378147
华莘花园,15.30328995,10.01239397
金美苑,15.38524134,10.03718095
新都名园,15.78691936,10.54417412
秀枫翠谷,13.30673872,7.910944464
广海花园,15.02336727,9.570361395
万泰花园,15.10543046,9.635217977
万科魅力之城,15.53875785,10.24335869
万科桂馨苑,15.54853301,10.27246881
茂盛花苑,14.86112577,9.480070768
万兆家园(二期)(公寓),14.9566924,9.545871389
惠明苑,15.52358151,10.11475569
碧林湾南苑(华友路260弄),15.42083621,9.926940233
万兆家园(三期),14.94615305,9.580851444
明泉公寓,14.31591078,8.944830818
莲浦府邸(公寓),14.64400648,9.138893949
牡丹公寓,14.91367973,9.53294406
富强街78号,14.6587901,9.24773198
万科凭栏苑,15.53570929,10.28928373
宝隆新村,14.70426639,9.30168723
富丽公寓(西区),15.09500585,9.600538318
保利名苑(公寓),15.30870971,9.857316667
学院新村,14.22608328,8.750770208
蒲汇新村,14.10943359,8.735787145
蓼花汀花园(公寓),15.01133715,9.503257947
白浪新村,14.59048262,9.20209783
豪世盛地,15.24348376,9.878904673
民主新村,14.43555219,9.085968699
万兆家园(五期),15.08421909,9.73910437
海星公寓,16.87424363,11.50041095
汇宝公寓,14.52064642,9.218469607
水榭花堤,14.93865115,9.465899394
宝南小区,14.87731218,9.443906176
万兆家园(一期),14.99642235,9.582756665
青年路241号,14.54490052,9.167215494
青年路25弄,45.05980709,38.49534121
京都苑,14.70012777,9.313406648
明泉花园(公寓),1.921960061,2.217698599
泰景苑,14.62548076,9.312195697
碧林湾(别墅),15.4079938,9.93469899
欧香名邸,15.33440043,10.0429973
大都会高尔夫和风(别墅),15.56632815,10.21941236
万科荷花苑,15.33696504,10.07830077
东风小区(七宝),14.6521204,9.308229402
蒲汇别墅,13.86798814,8.478016725
蓼花汀花园(别墅),12.46948347,7.211585351
皇都花园(别墅),14.73404949,9.222946213
大千美墅,15.54722842,10.27602204
万泰公寓,14.66428415,9.365411246
莲浦府邸(别墅),14.64400648,9.138893949
青年路385号,14.72996055,9.355246675
华夏茗苑(二期),14.41366627,8.990863491
万科七宝国际,15.98226905,10.66905514
联明路210号,15.29888256,9.878116128
奔驰别墅,15.3368216,9.902321138
亿豪名邸,14.71339986,9.238777094
青年路231号,14.49173824,9.113327358
交大农学院家属楼,14.42931728,8.991095476
大都会高尔夫和风(公寓),5.935168793,2.736923038
万科阳光苑,21.4720223,17.7901748
永德小区,20.78945289,17.0187706
双柏小区,20.70542065,17.0742298
虹梅新苑,21.26106648,17.34084776
嘉怡水岸(公寓),21.83993924,18.07224979
通海二小区,21.31292014,17.52580857
紫竹半岛花园,22.83533201,19.04788074
龙吴路5599弄,21.33443868,17.61402259
氯碱小区,20.7218408,17.17624402
紫晶南园,21.53316195,17.64981375
通海一小区,20.96673099,17.29708518
塘泾北苑,20.97668493,16.80591144
枫桦景苑,20.87444476,17.0350762
吴泾新村,20.85465985,17.1400039
塘泾南苑,21.24129509,17.09999029
虹梅景苑一街坊,21.09011832,17.06783321
虹梅景苑四街坊,20.74189484,16.70462289
虹梅景苑二街坊,21.10031134,17.02805467
现代苑,21.58675865,17.83746615
锦川公寓,21.0566143,17.35283269
景浦公寓,0.206880041,1.311532513
万乐城(商业类),21.60389991,17.44760856
嘉怡水岸(商业类),21.83993924,18.07224979
虹梅景苑三街坊,20.78797439,16.70578118
通海路360弄,20.84579357,17.26058274
星丰苑,14.75748061,9.281061524
林水美地苑,16.76743375,11.26158348
绿梅二村,16.5462849,11.0730705
东苑福邸,15.98626784,10.50416864
水清苑,15.00743507,9.531791216
报春四村,15.53440932,10.06637823
上海康城,18.26360275,12.77677937
莘松三村,16.74597973,11.31027257
莘城公寓,15.88699504,10.63290331
莘松五村,17.1734758,11.72518042
邻里苑,16.98534014,11.63715088
莘城苑,16.83899371,11.33898302
都市星城,16.51652755,11.24845942
黎安一村,15.11350656,9.608094422
沁春园三村,17.84450615,12.48554861
华丽家园,16.37884103,11.15140123
水清三村,15.77285709,10.33651959
万科假日风景(公寓),15.64885739,10.5330309
柏林春天（二期）,16.49699159,11.28965132
西环三村,17.53790444,12.08420265
阳明国际花苑,15.19012814,9.758180698
水清二村,15.60146819,10.1905891
新空间家园,15.47826503,10.21359825
绿茵苑(闵行),14.87842929,9.443028741
众众家园南苑,16.19198091,10.82171022
好世鹿鸣苑,16.50840373,11.17133287
黎安一村(北区),15.13679309,9.631100166
富林苑(三期),16.22747488,10.73082606
奥塞花园,16.8590901,11.62100871
报春二村,15.66831141,10.2088477
富林苑(二期),16.50538261,11.0081389
西湖苑,16.99150489,11.50291531
水清一村,15.90796945,10.4900558
江南名邸,15.6002146,10.36785275
新申花城茉莉苑,15.62477059,10.44913226
绿梅一村,16.73672855,11.27824583
沁春园二村,17.679854,12.23611887
黎安三村,14.74036619,9.23883568
中祥哥德堡,16.64579153,11.33266939
