Raw Data,Trim,First /,Second /,Third /,Section,First >,Second <,Section in Chinese,District,District in Chinese
"                                      <a href=""/ershoufang/luodian/"">罗店</a>","<a href=""/ershoufang/luodian/"">罗店</a>",10,21,29,luodian,31,34,罗店,Baoshan,宝山
"                                      <a href=""/ershoufang/luojing/"">罗泾</a>","<a href=""/ershoufang/luojing/"">罗泾</a>",10,21,29,luojing,31,34,罗泾,Baoshan,宝山
"                                      <a href=""/ershoufang/shangda/"">上大</a>","<a href=""/ershoufang/shangda/"">上大</a>",10,21,29,shangda,31,34,上大,Baoshan,宝山
"                                      <a href=""/ershoufang/songbao/"">淞宝</a>","<a href=""/ershoufang/songbao/"">淞宝</a>",10,21,29,songbao,31,34,淞宝,Baoshan,宝山
"                                      <a href=""/ershoufang/songnan/"">淞南</a>","<a href=""/ershoufang/songnan/"">淞南</a>",10,21,29,songnan,31,34,淞南,Baoshan,宝山
"                                      <a href=""/ershoufang/tonghe/"">通河</a>","<a href=""/ershoufang/tonghe/"">通河</a>",10,21,28,tonghe,30,33,通河,Baoshan,宝山
"                                      <a href=""/ershoufang/yanghang/"">杨行</a>","<a href=""/ershoufang/yanghang/"">杨行</a>",10,21,30,yanghang,32,35,杨行,Baoshan,宝山
"                                      <a href=""/ershoufang/yuepu/"">月浦</a>","<a href=""/ershoufang/yuepu/"">月浦</a>",10,21,27,yuepu,29,32,月浦,Baoshan,宝山
"                                      <a href=""/ershoufang/zhangmiao/"">张庙</a>","<a href=""/ershoufang/zhangmiao/"">张庙</a>",10,21,31,zhangmiao,33,36,张庙,Baoshan,宝山
"                                      <a href=""/ershoufang/caohejing/"">漕河泾</a>","<a href=""/ershoufang/caohejing/"">漕河泾</a>",10,21,31,caohejing,33,37,漕河泾,Xuhui,徐汇
"                                      <a href=""/ershoufang/changqiao/"">长桥</a>","<a href=""/ershoufang/changqiao/"">长桥</a>",10,21,31,changqiao,33,36,长桥,Xuhui,徐汇
"                                      <a href=""/ershoufang/hengshanlu/"">衡山路</a>","<a href=""/ershoufang/hengshanlu/"">衡山路</a>",10,21,32,hengshanlu,34,38,衡山路,Xuhui,徐汇
"                                      <a href=""/ershoufang/huadongligong/"">华东理工</a>","<a href=""/ershoufang/huadongligong/"">华东理工</a>",10,21,35,huadongligong,37,42,华东理工,Xuhui,徐汇
"                                      <a href=""/ershoufang/huajing/"">华泾</a>","<a href=""/ershoufang/huajing/"">华泾</a>",10,21,29,huajing,31,34,华泾,Xuhui,徐汇
"                                      <a href=""/ershoufang/jianguoxilu/"">建国西路</a>","<a href=""/ershoufang/jianguoxilu/"">建国西路</a>",10,21,33,jianguoxilu,35,40,建国西路,Xuhui,徐汇
"                                      <a href=""/ershoufang/kangjian/"">康健</a>","<a href=""/ershoufang/kangjian/"">康健</a>",10,21,30,kangjian,32,35,康健,Xuhui,徐汇
"                                      <a href=""/ershoufang/longhua/"">龙华</a>","<a href=""/ershoufang/longhua/"">龙华</a>",10,21,29,longhua,31,34,龙华,Xuhui,徐汇
"                                      <a href=""/ershoufang/shanghainanzhan/"">上海南站</a>","<a href=""/ershoufang/shanghainanzhan/"">上海南站</a>",10,21,37,shanghainanzhan,39,44,上海南站,Xuhui,徐汇
"                                      <a href=""/ershoufang/tianlin/"">田林</a>","<a href=""/ershoufang/tianlin/"">田林</a>",10,21,29,tianlin,31,34,田林,Xuhui,徐汇
"                                      <a href=""/ershoufang/wantiguan/"">万体馆</a>","<a href=""/ershoufang/wantiguan/"">万体馆</a>",10,21,31,wantiguan,33,37,万体馆,Xuhui,徐汇
"                                      <a href=""/ershoufang/xietulu/"">斜土路</a>","<a href=""/ershoufang/xietulu/"">斜土路</a>",10,21,29,xietulu,31,35,斜土路,Xuhui,徐汇
"                                      <a href=""/ershoufang/xuhuibinjiang/"">徐汇滨江</a>","<a href=""/ershoufang/xuhuibinjiang/"">徐汇滨江</a>",10,21,35,xuhuibinjiang,37,42,徐汇滨江,Xuhui,徐汇
"                                      <a href=""/ershoufang/xujiahui/"">徐家汇</a>","<a href=""/ershoufang/xujiahui/"">徐家汇</a>",10,21,30,xujiahui,32,36,徐家汇,Xuhui,徐汇
"                                      <a href=""/ershoufang/zhiwuyuan/"">植物园</a>","<a href=""/ershoufang/zhiwuyuan/"">植物园</a>",10,21,31,zhiwuyuan,33,37,植物园,Xuhui,徐汇
"                                      <a href=""/ershoufang/caoyang/"">曹杨</a>","<a href=""/ershoufang/caoyang/"">曹杨</a>",10,21,29,caoyang,31,34,曹杨,Putuo,普陀
"                                      <a href=""/ershoufang/changfeng1/"">长风</a>","<a href=""/ershoufang/changfeng1/"">长风</a>",10,21,32,changfeng1,34,37,长风,Putuo,普陀
"                                      <a href=""/ershoufang/changshoulu/"">长寿路</a>","<a href=""/ershoufang/changshoulu/"">长寿路</a>",10,21,33,changshoulu,35,39,长寿路,Putuo,普陀
"                                      <a href=""/ershoufang/changzheng/"">长征</a>","<a href=""/ershoufang/changzheng/"">长征</a>",10,21,32,changzheng,34,37,长征,Putuo,普陀
"                                      <a href=""/ershoufang/ganquanyichuan/"">甘泉宜川</a>","<a href=""/ershoufang/ganquanyichuan/"">甘泉宜川</a>",10,21,36,ganquanyichuan,38,43,甘泉宜川,Putuo,普陀
"                                      <a href=""/ershoufang/guangxin/"">光新</a>","<a href=""/ershoufang/guangxin/"">光新</a>",10,21,30,guangxin,32,35,光新,Putuo,普陀
"                                      <a href=""/ershoufang/taopu/"">桃浦</a>","<a href=""/ershoufang/taopu/"">桃浦</a>",10,21,27,taopu,29,32,桃浦,Putuo,普陀
"                                      <a href=""/ershoufang/wanli/"">万里</a>","<a href=""/ershoufang/wanli/"">万里</a>",10,21,27,wanli,29,32,万里,Putuo,普陀
"                                      <a href=""/ershoufang/wuning/"">武宁</a>","<a href=""/ershoufang/wuning/"">武宁</a>",10,21,28,wuning,30,33,武宁,Putuo,普陀
"                                      <a href=""/ershoufang/zhenguang/"">真光</a>","<a href=""/ershoufang/zhenguang/"">真光</a>",10,21,31,zhenguang,33,36,真光,Putuo,普陀
"                                      <a href=""/ershoufang/zhenru/"">真如</a>","<a href=""/ershoufang/zhenru/"">真如</a>",10,21,28,zhenru,30,33,真如,Putuo,普陀
"                                      <a href=""/ershoufang/zhongyuanliangwancheng/"">中远两湾城</a>","<a href=""/ershoufang/zhongyuanliangwancheng/"">中远两湾城</a>",10,21,44,zhongyuanliangwancheng,46,52,中远两湾城,Putuo,普陀
"                                      <a href=""/ershoufang/anshan/"">鞍山</a>","<a href=""/ershoufang/anshan/"">鞍山</a>",10,21,28,anshan,30,33,鞍山,Yangpu,杨浦
"                                      <a href=""/ershoufang/dongwaitan/"">东外滩</a>","<a href=""/ershoufang/dongwaitan/"">东外滩</a>",10,21,32,dongwaitan,34,38,东外滩,Yangpu,杨浦
"                                      <a href=""/ershoufang/gaojing/"">高境</a>","<a href=""/ershoufang/gaojing/"">高境</a>",10,21,29,gaojing,31,34,高境,Yangpu,杨浦
"                                      <a href=""/ershoufang/huangxinggongyuan/"">黄兴公园</a>","<a href=""/ershoufang/huangxinggongyuan/"">黄兴公园</a>",10,21,39,huangxinggongyuan,41,46,黄兴公园,Yangpu,杨浦
"                                      <a href=""/ershoufang/kongjianglu/"">控江路</a>","<a href=""/ershoufang/kongjianglu/"">控江路</a>",10,21,33,kongjianglu,35,39,控江路,Yangpu,杨浦
"                                      <a href=""/ershoufang/wujiaochang/"">五角场</a>","<a href=""/ershoufang/wujiaochang/"">五角场</a>",10,21,33,wujiaochang,35,39,五角场,Yangpu,杨浦
"                                      <a href=""/ershoufang/xinjiangwancheng/"">新江湾城</a>","<a href=""/ershoufang/xinjiangwancheng/"">新江湾城</a>",10,21,38,xinjiangwancheng,40,45,新江湾城,Yangpu,杨浦
"                                      <a href=""/ershoufang/zhongyuan1/"">中原</a>","<a href=""/ershoufang/zhongyuan1/"">中原</a>",10,21,32,zhongyuan1,34,37,中原,Yangpu,杨浦
"                                      <a href=""/ershoufang/zhoujiazuilu/"">周家嘴路</a>","<a href=""/ershoufang/zhoujiazuilu/"">周家嘴路</a>",10,21,34,zhoujiazuilu,36,41,周家嘴路,Yangpu,杨浦
"                                      <a href=""/ershoufang/beixinjing/"">北新泾</a>","<a href=""/ershoufang/beixinjing/"">北新泾</a>",10,21,32,beixinjing,34,38,北新泾,Changning,长宁
"                                      <a href=""/ershoufang/gubei/"">古北</a>","<a href=""/ershoufang/gubei/"">古北</a>",10,21,27,gubei,29,32,古北,Changning,长宁
"                                      <a href=""/ershoufang/hongqiao1/"">虹桥</a>","<a href=""/ershoufang/hongqiao1/"">虹桥</a>",10,21,31,hongqiao1,33,36,虹桥,Changning,长宁
"                                      <a href=""/ershoufang/jingansi/"">静安寺</a>","<a href=""/ershoufang/jingansi/"">静安寺</a>",10,21,30,jingansi,32,36,静安寺,Changning,长宁
"                                      <a href=""/ershoufang/tianshan/"">天山</a>","<a href=""/ershoufang/tianshan/"">天山</a>",10,21,30,tianshan,32,35,天山,Changning,长宁
"                                      <a href=""/ershoufang/xianxia/"">仙霞</a>","<a href=""/ershoufang/xianxia/"">仙霞</a>",10,21,29,xianxia,31,34,仙霞,Changning,长宁
"                                      <a href=""/ershoufang/xijiao/"">西郊</a>","<a href=""/ershoufang/xijiao/"">西郊</a>",10,21,28,xijiao,30,33,西郊,Changning,长宁
"                                      <a href=""/ershoufang/xinhualu/"">新华路</a>","<a href=""/ershoufang/xinhualu/"">新华路</a>",10,21,30,xinhualu,32,36,新华路,Changning,长宁
"                                      <a href=""/ershoufang/zhenninglu/"">镇宁路</a>","<a href=""/ershoufang/zhenninglu/"">镇宁路</a>",10,21,32,zhenninglu,34,38,镇宁路,Changning,长宁
"                                      <a href=""/ershoufang/zhongshangongyuan/"">中山公园</a>","<a href=""/ershoufang/zhongshangongyuan/"">中山公园</a>",10,21,39,zhongshangongyuan,41,46,中山公园,Changning,长宁
"                                      <a href=""/ershoufang/chedun/"">车墩</a>","<a href=""/ershoufang/chedun/"">车墩</a>",10,21,28,chedun,30,33,车墩,Songjiang,松江
"                                      <a href=""/ershoufang/jiuting/"">九亭</a>","<a href=""/ershoufang/jiuting/"">九亭</a>",10,21,29,jiuting,31,34,九亭,Songjiang,松江
"                                      <a href=""/ershoufang/maogang/"">泖港</a>","<a href=""/ershoufang/maogang/"">泖港</a>",10,21,29,maogang,31,34,泖港,Songjiang,松江
"                                      <a href=""/ershoufang/shenminbieshu/"">莘闵别墅</a>","<a href=""/ershoufang/shenminbieshu/"">莘闵别墅</a>",10,21,35,shenminbieshu,37,42,莘闵别墅,Songjiang,松江
"                                      <a href=""/ershoufang/sheshan/"">佘山</a>","<a href=""/ershoufang/sheshan/"">佘山</a>",10,21,29,sheshan,31,34,佘山,Songjiang,松江
"                                      <a href=""/ershoufang/shihudang/"">石湖荡</a>","<a href=""/ershoufang/shihudang/"">石湖荡</a>",10,21,31,shihudang,33,37,石湖荡,Songjiang,松江
"                                      <a href=""/ershoufang/sijing/"">泗泾</a>","<a href=""/ershoufang/sijing/"">泗泾</a>",10,21,28,sijing,30,33,泗泾,Songjiang,松江
"                                      <a href=""/ershoufang/songjiangdaxuecheng/"">松江大学城</a>","<a href=""/ershoufang/songjiangdaxuecheng/"">松江大学城</a>",10,21,41,songjiangdaxuecheng,43,49,松江大学城,Songjiang,松江
"                                      <a href=""/ershoufang/songjianglaocheng/"">松江老城</a>","<a href=""/ershoufang/songjianglaocheng/"">松江老城</a>",10,21,39,songjianglaocheng,41,46,松江老城,Songjiang,松江
"                                      <a href=""/ershoufang/songjiangxincheng/"">松江新城</a>","<a href=""/ershoufang/songjiangxincheng/"">松江新城</a>",10,21,39,songjiangxincheng,41,46,松江新城,Songjiang,松江
"                                      <a href=""/ershoufang/xiaokunshan/"">小昆山</a>","<a href=""/ershoufang/xiaokunshan/"">小昆山</a>",10,21,33,xiaokunshan,35,39,小昆山,Songjiang,松江
"                                      <a href=""/ershoufang/xinbang/"">新浜</a>","<a href=""/ershoufang/xinbang/"">新浜</a>",10,21,29,xinbang,31,34,新浜,Songjiang,松江
"                                      <a href=""/ershoufang/xinqiao/"">新桥</a>","<a href=""/ershoufang/xinqiao/"">新桥</a>",10,21,29,xinqiao,31,34,新桥,Songjiang,松江
"                                      <a href=""/ershoufang/yexie/"">叶榭</a>","<a href=""/ershoufang/yexie/"">叶榭</a>",10,21,27,yexie,29,32,叶榭,Songjiang,松江
"                                      <a href=""/ershoufang/anting/"">安亭</a>","<a href=""/ershoufang/anting/"">安亭</a>",10,21,28,anting,30,33,安亭,Jiading,嘉定
"                                      <a href=""/ershoufang/fengzhuang/"">丰庄</a>","<a href=""/ershoufang/fengzhuang/"">丰庄</a>",10,21,32,fengzhuang,34,37,丰庄,Jiading,嘉定
"                                      <a href=""/ershoufang/huating/"">华亭</a>","<a href=""/ershoufang/huating/"">华亭</a>",10,21,29,huating,31,34,华亭,Jiading,嘉定
"                                      <a href=""/ershoufang/jiadinglaocheng/"">嘉定老城</a>","<a href=""/ershoufang/jiadinglaocheng/"">嘉定老城</a>",10,21,37,jiadinglaocheng,39,44,嘉定老城,Jiading,嘉定
"                                      <a href=""/ershoufang/jiadingxincheng/"">嘉定新城</a>","<a href=""/ershoufang/jiadingxincheng/"">嘉定新城</a>",10,21,37,jiadingxincheng,39,44,嘉定新城,Jiading,嘉定
"                                      <a href=""/ershoufang/jiangqiao/"">江桥</a>","<a href=""/ershoufang/jiangqiao/"">江桥</a>",10,21,31,jiangqiao,33,36,江桥,Jiading,嘉定
"                                      <a href=""/ershoufang/juyuanxinqu/"">菊园新区</a>","<a href=""/ershoufang/juyuanxinqu/"">菊园新区</a>",10,21,33,juyuanxinqu,35,40,菊园新区,Jiading,嘉定
"                                      <a href=""/ershoufang/malu/"">马陆</a>","<a href=""/ershoufang/malu/"">马陆</a>",10,21,26,malu,28,31,马陆,Jiading,嘉定
"                                      <a href=""/ershoufang/nanxiang/"">南翔</a>","<a href=""/ershoufang/nanxiang/"">南翔</a>",10,21,30,nanxiang,32,35,南翔,Jiading,嘉定
"                                      <a href=""/ershoufang/shangda/"">上大</a>","<a href=""/ershoufang/shangda/"">上大</a>",10,21,29,shangda,31,34,上大,Jiading,嘉定
"                                      <a href=""/ershoufang/waigang/"">外冈</a>","<a href=""/ershoufang/waigang/"">外冈</a>",10,21,29,waigang,31,34,外冈,Jiading,嘉定
"                                      <a href=""/ershoufang/xinchenglu1/"">新成路</a>","<a href=""/ershoufang/xinchenglu1/"">新成路</a>",10,21,33,xinchenglu1,35,39,新成路,Jiading,嘉定
"                                      <a href=""/ershoufang/xuxing/"">徐行</a>","<a href=""/ershoufang/xuxing/"">徐行</a>",10,21,28,xuxing,30,33,徐行,Jiading,嘉定
"                                      <a href=""/ershoufang/dapuqiao/"">打浦桥</a>","<a href=""/ershoufang/dapuqiao/"">打浦桥</a>",10,21,30,dapuqiao,32,36,打浦桥,Huangpu,黄浦
"                                      <a href=""/ershoufang/dongjiadu/"">董家渡</a>","<a href=""/ershoufang/dongjiadu/"">董家渡</a>",10,21,31,dongjiadu,33,37,董家渡,Huangpu,黄浦
"                                      <a href=""/ershoufang/huaihaizhonglu/"">淮海中路</a>","<a href=""/ershoufang/huaihaizhonglu/"">淮海中路</a>",10,21,36,huaihaizhonglu,38,43,淮海中路,Huangpu,黄浦
"                                      <a href=""/ershoufang/huangpubinjiang/"">黄浦滨江</a>","<a href=""/ershoufang/huangpubinjiang/"">黄浦滨江</a>",10,21,37,huangpubinjiang,39,44,黄浦滨江,Huangpu,黄浦
"                                      <a href=""/ershoufang/laoximen/"">老西门</a>","<a href=""/ershoufang/laoximen/"">老西门</a>",10,21,30,laoximen,32,36,老西门,Huangpu,黄浦
"                                      <a href=""/ershoufang/nanjingdonglu/"">南京东路</a>","<a href=""/ershoufang/nanjingdonglu/"">南京东路</a>",10,21,35,nanjingdonglu,37,42,南京东路,Huangpu,黄浦
"                                      <a href=""/ershoufang/penglaigongyuan/"">蓬莱公园</a>","<a href=""/ershoufang/penglaigongyuan/"">蓬莱公园</a>",10,21,37,penglaigongyuan,39,44,蓬莱公园,Huangpu,黄浦
"                                      <a href=""/ershoufang/renminguangchang/"">人民广场</a>","<a href=""/ershoufang/renminguangchang/"">人民广场</a>",10,21,38,renminguangchang,40,45,人民广场,Huangpu,黄浦
"                                      <a href=""/ershoufang/shibobinjiang/"">世博滨江</a>","<a href=""/ershoufang/shibobinjiang/"">世博滨江</a>",10,21,35,shibobinjiang,37,42,世博滨江,Huangpu,黄浦
"                                      <a href=""/ershoufang/wuliqiao/"">五里桥</a>","<a href=""/ershoufang/wuliqiao/"">五里桥</a>",10,21,30,wuliqiao,32,36,五里桥,Huangpu,黄浦
"                                      <a href=""/ershoufang/xintiandi/"">新天地</a>","<a href=""/ershoufang/xintiandi/"">新天地</a>",10,21,31,xintiandi,33,37,新天地,Huangpu,黄浦
"                                      <a href=""/ershoufang/yuyuan/"">豫园</a>","<a href=""/ershoufang/yuyuan/"">豫园</a>",10,21,28,yuyuan,30,33,豫园,Huangpu,黄浦
"                                      <a href=""/ershoufang/buyecheng/"">不夜城</a>","<a href=""/ershoufang/buyecheng/"">不夜城</a>",10,21,31,buyecheng,33,37,不夜城,Jingan,静安
"                                      <a href=""/ershoufang/caojiadu/"">曹家渡</a>","<a href=""/ershoufang/caojiadu/"">曹家渡</a>",10,21,30,caojiadu,32,36,曹家渡,Jingan,静安
